dzo_to_eng,eng_to_dzo
"Other children were subjected to the crime of being raised by wild animals, and some had stories of growing up in a barn.",གཞན་ཚུ་སེམས་ཅན་ཚུ་གིས་གསོ་སྐྱོང་འབད་ཡི་ཟེར་སླབ་ཨིན་ ལ་ལུ་གིས་རང་རྐྱངམ་གཅིག་ རི་སྟོང་ནང་ལུ་སྡོད་ཡི་ཟེར་སླབ་མས།
"If children are raised by nonhuman animals, then the animal behavior of the feral children is also shown by human fear or indifference.",མི་མེན་པའི་སེམས་ཅན་ཚུ་གིས་ཆ་ཚང་སྦེ་གསོ་སྐྱོང་འབད་ཞིནམ་ལས་ རི་དྭགས་ཀྱི་ཨ་ལུ་གིས་ སྤྱོད་ལམ་ཚུ་ (གཟུགས་ཀྱི་ཚད་འཛིན་གྱི་ནང་ན་) འདྲ་མཉམ་སྦེ་མི་ཅིག་གིས་བལྟ་སྐྱོང་འབད་མི་སེམས་ཅན་ཚུ་བཟུམ་ཅིག་ མི་ལུ་འདྲོག་ནི་དང་སྣང་མེད་བསྐྱེད་ནི་བཟུམ་ཅིག་སྟོན་འོང་།
On-the-job learning should be made simple and fun and more stylish than on the desk.,ལས་འགུལ་གྱི་གཞི་རྟེན་གྱི་སློབ་སྦྱོང་འདི་སློབ་སྦྱོང་འཇམ་ཏོང་ཏོ་དང་སྤྲོ་བ་ཆེ་ཏོག་ཏོ་བཟོ་དགོཔ་ཨིན་རུང་སྒྲོམ་བཟོ་ནི་འདི་དེ་ལས་ལྷག་སྟེ་འགྱོ་ནི་ཡོད།
"Work is not a method of learning, but it can help new learners gain new learning experiences, such as using new computer programs or starting new projects.",སྐེ་སྒྲོམ་འདི་སློབ་སྦྱོང་གི་ཐབས་ལམ་མེན་ དེ་འབདཝ་ད་མི་སོ་སོ་ལུ་སློབ་སྦྱོང་གི་ཉམས་མྱོང་གསརཔ་ཅིག་ནང་ཚུད་མི་མི་ཡང་ན་གློག་རིག་ལས་རིམ་གསརཔ་ལག་ལེན་འཐབ་ནི་ཡང་ན་ལས་འགུལ་གསརཔ་ཅིག་འགོ་བཙུགས་ནི་བཟུམ་ལུ་རྒྱབ་སྐྱོར་བྱིན་མི་གྲོགས་རམ་ཅིག་ཨིན།
"The problem is timeless and obvious, meaning that the teacher is part of the workstation, just like the Microsoft Office Paper Cliffman.",སྟེགས་སྒྲོམ་ཚུ་ངོ་མ་དང་ངོ་མ་གཉིས་ཆ་ར་འབད་ཚུགས་ནི་ཨིན་མས། ཚིག་གཞན་ཅིག་སླབ་པ་ཅིན་ སློབ་དཔོན་འདི་སྟེགས་སྒྲོམ་ཅིག་ཨིན་ དེ་འབདཝ་ད་ མའི་ཀོརསོཊ་ཨོ་ཕིསི་ནང་ཡོད་པའི་ཤོག་ལེབ་ལེབ་ལེབ་ལེབ་ཀྱི་ཕོ་སྐྱེས་ཆུང་ཀུ་ཡང་ཨིན།
"The time-lapse function is embedded in computer software, which makes it important for students to articulate problem-questions, feedback, and action sequences.",ཕྲ་དངོས་ཀྱི་སྒྲོམ་འདི་མཉེན་ཆས་ནང་ནང་འཁོད་ལུ་བཟོ་སྟེ་ སློབ་ཕྲུག་རྐྱངམ་གཅིག་གིས་ལག་ལེན་འཐབ་ནི་ལུ་དཀའ་སྡུག་ཅན་ཅིག་འོང་སྲིད་པའི་གནད་དོན་ཚུ་འདྲི་ནི་དང་བསྐུལ་བ་དང་འགྲེལ་བཤད་འབད་ནི་གི་དོན་ལས་ཨིན།
"Children are placed in foster care because of neglect, abuse and abuse.",ཨ་ལུ་ཚུ་སྣང་མེད་བཞག་ནི་དང་གནོད་སྤྱོད་དང་འཕྲལ་ར་དབང་བཙོང་འབད་ནི་ལས་བརྟེན་རྒྱུ་མཚན་ལེ་ཤ་ཅིག་གིས་བརྟེན་གསོ་སྐྱོང་ནང་བཞག་ནུག།
"Therefore, children are not left in foster care, care and ignorance, so they do so by themselves.",ཨ་ལུ་ག་གིས་ཡང་སྐྱོང་ནི་དང་བདག་འཛིན་དང་ཤེས་ཡོན་མ་བྱིན་མི་གནས་སྟངས་ནང་སྦོམ་འགྱོ་དགོཔ་མེད། དེ་འབདཝ་ད་ཁོང་གིས་འབད་འོང་།
We found the foster care system to be a safe place for such children.,ང་བཅས་ཀྱིས་གསོ་སྐྱོང་ཞབས་ཏོག་ལམ་ལུགས་འདི་ཨ་ནཱི་ཨ་ལུ་ཚུ་གི་ཉེན་སྲུང་གི་ས་ཁོངས་ཅིག་ཨིནམ་སྦེ་མཐོང་མས།
"Our health care system provides safe housing, caring caregivers, continuing education and reliable health care.",ང་བཅས་ཀྱི་གསོ་སྐྱོང་གི་ལམ་ལུགས་འདི་ཉེན་སྲུང་ཅན་ཁྱིམ་དང་གཅེས་སྐྱོང་འབད་མི་ཚུ་ ཤེས་རིག་བརྟན་ཏོག་ཏོ་དང་སྨན་བཅོས་བརྟན་བརྟན་ཅན་བྱིན་དགོཔ་ཨིན།
Our foster care system provides affordable facilities that were previously absent from the area where they were brought in.,ཨ་ལོ་གསོ་སྐྱོང་འདི་ ཧེ་མ་ཁོང་ཁྱིམ་ནང་ལས་འབག་འབག་འགྱོ་མི་ནང་དགོ་པའི་དགོས་མཁོ་ག་ར་བྱིན་དགོཔ་ཨིན།
The Internet combines the basics of interpersonal and one-to-many communication.,ཡོངས་འབྲེལ་གྱི་ཆ་ཤས་ཚུ་མང་ཚོགས་དང་མི་གཉིས་ཀྱི་འབྲེལ་བ་གཉིས་ཆ་ར་གཅིག་ཁར་བསྡོམས་ཨིན།
"As a web-based platform, it is increasingly helping to understand and apply them better.",ཡོངས་འབྲེལ་གྱི་ཁྱད་ཆོས་སོ་སོ་ཚུ་གིས་ལག་ལེན་དང་དགའ་ཚོར་གྱི་ཐབས་ལམ་གྱི་ཐད་ཁར་ཚད་གཞི་མངམ་ཅིག་ལུ་འཁྱིད་འགྱོ་མས།
"For example, it has been suggested that learning and networking are important motivations for using the Internet.",དཔེ་འབད་བ་ཅིན་ སློབ་སྦྱོང་དང་ མི་སྡེ་བཟོ་ནི་འདི་ ཡོངས་འབྲེལ་ལག་ལེན་གྱི་དོན་ལུ་ སེམས་ཤུགས་ཁག་ཆེ་དྲགས་སྦེ་བཀོད་ནུག། ཊེཇེམ་དང་གཞན་མི་ཚུ་ སྤྱི་ལོ་༡༩༩༥།
"Similarly, Aimé and McCord (1998) have also introduced personalization and maintaining a direct connection as a new form of communication when collecting feedback on websites.",མི་གི་འབྲེལ་གཏོགས་དང་འབྲེལ་མཐུད་འདི་ ཨའི་མིདང་མེག་ཀོ་ཌ་གིས་སྤྱི་ཡོངས་འབྲེལ་འཆར་སྒོ་ལུ་ཉན་མི་ཚུ་གི་ལན་གསལ་ཞིབ་འབད་བའི་སྐབས་ (1998) ཀྱིས་སེམས་ཤུགས་ཀྱི་རྣམ་འགྱུར་གསརཔ་སྦེ་ངོས་འཛིན་འབད་ནུག།
A user who keeps a recording of a presentation is essential for retrieving short-term visual transcripts and ghost changes.,གློག་བརྙན་གློག་བརྙན་ལེན་པའི་ལག་ལེན་གྱིས་ཁ་གསལ་ཁ་གསལ་ཁ་གསལ་ཁ་གསལ་ཁ་གསལ་ཁ་གསལ་ཁ་གསལ་ཁ་གསལ་གྱི་འགྲེལ་བཤད་ནང་ལུ་དོན་ཆེ་བའི་གསར་བཏོན་ཚུ་འབད་བཅུག་ཡི།
"In particular, a person can know if he is lying by gesture.",དམིགས་བསལ་དུ་ མི་ཅིག་གིས་ ཉུང་གསལ་གྱི་ཚིག་ཚུ་བདེན་སྦེ་བསྒྱུར་བཅོས་འབད་དེ་ རྫུན་སླབ་ཨིན་ན་མེན་ན་ བཏོན་ཚུགས་ཟེར་ སླབ་མས།
"According to Oliver Cage in the newspaper The President's Speech, people who are brain damaged and don't understand speech can accurately check their sincerity.",ཨོ་ལི་ཝར་སཱ་ཀེསི་གིས་ཁོ་རའི་ཤོག་བྱང་ཨིས་པེརེཌེན་ཌ་གི་སྨོན་ཚིག་ནང་ མི་ཚུ་མགུ་ཏོ་རྨ་རྐྱེན་གྱི་རྐྱེན་ལས་ཁ་སླབ་ཧ་མ་གོ་མི་འདི་ཚུ་ ག་དེ་སྦེ་ཨིན་རུང་དྲང་པོ་གི་བདེན་ལུགས་གཏན་དཔྱད་འབད་ཚུགས་ག་སྟོན་ཡི།
He says that the ability to interpret human behavior enables even pet dogs to communicate.,ཁོ་གིས་ཡང་ མི་གི་སྤྱོད་ལམ་འགྲེལ་བཤད་འབད་ནི་ལུ་ཡོད་པའི་ལྕོགས་གྲུབ་འདི་ཁྱིམ་གྱི་རོ་ཁྱི་ཚུ་བཟུམ་སེམས་ཅན་ཚུ་གིས་བགོ་བཤའ་རྐྱབ་འོང་ཟེར་བསམ་འཆར་བཀོད་ནུག།
"According to 20th century research, it has two distinct genetic properties: secret and transparent.",དུས་རབས་ཉི་ཤུ་པའི་ཞིབ་འཚོལ་གྱིས་རིགས་རྒྱུད་ཀྱི་འགྱུར་བཅོས་ཀྱི་རྫིང་ཚན་གཉིས་ཡོད་མི་འདི་ གསང་དང་གསལ་སྟོན་འབད་མི་འདི་སྟོན་ཡི།
"As a mutation adds to the evolution of a different gene, the choice arises from a different explanation.",འགྱུར་བཅོས་ཀྱིས་རིགས་རྒྱུད་ཀྱི་འགྱུར་བཅོས་གསརཔ་བཀོདཔ་དང་གདམ་ཁ་གིས་འདི་གསལ་སྟོན་འབད་ཡོད་པའི་འགྱུར་བཅོས་ཀྱི་རྫིང་ནང་ལས་བཏོན་བཀོཝ་ཨིན།
The combination of reflection and refraction alternates between the two at the same time.,སག་ཕྱེ་དང་ལོག་བསྡོམས་ཀྱིས་མི་རབས་སོ་སོ་དང་གཅིག་ཁར་ཆུ་རྫིང་གཉིས་གྱི་བར་ན་ཁྱད་པར་འདི་ཕར་ཚུར་སྤར་གཏང་མས།
The common species with the digestive system in humans in Sabah do not get the amino acids that they require in the body from the plants there.,སཱ་ཝ་ན་ན་ནང་ཡོད་པའི་ནང་མི་བཟུམ་སྦེ་ཟས་བཅུད་ཀྱི་ལམ་ལུགས་ཡོད་པའི་སེམས་ཅན་གཙོ་བོ་ལུ་ཤིང་སྡོང་ཐོན་ཁུངས་ལས་ཨ་མཱིན་ཨེ་སིཌ་དགོ་མི་ཚུ་གྲུབ་ནི་ལུ་ལཱ་ཁག་འདུག།
"As a result, disaster-related disability, malnutrition, and deaths are common.",དེ་མ་ཚད་ དེ་འབད་ནི་ལུ་མ་ཐོབ། འདི་ལུ་ སྦོམ་པའི་གྲུབ་འབྲས་ཚུ་ཡོད། གོང་འཕེལ་སེམས་སྐྱོ་ནི་ ཟས་བཅུད་མ་ལང་པ་དང་མཐའ་མཇུག་ལུ་ ཤི་ནི་ཡོད།
The leaves and stems of plants and the nutrients that are common to species like us cannot be avoided if they are cooked.,ཤིང་སྡོང་གི་ཐོན་ཁུངས་ཚུ་འཇམ་ཏོང་ཏོ་སྦེ་འཐོབ་ཚུགས་མི་འདི་ ཤོག་དང་ཤིང་འབྲས་ཚུ་ནང་འཐོབ་ཚུགས་པའི་པི་ཊི་ནེསི་ཚུ་སྡོད་འོང་ དེ་འབདཝ་ད་འདི་ཚུ་ང་བཅས་བཟུམ་སྲོག་ཆགས་ཚུ་གི་དོན་ལུ་ བཞེས་སྒོ་མ་རྐྱབ་པ་ཅིན་ ཧམ་རྫས་བཟོ་ནི་ལུ་ལཱ་ཁག་འདུག།
"Animal foods (mushrooms, white beans and eggs) can be easily digested and contain high levels of amino acids, giving them a rich nutritional value.",ཁྱད་པར་སྦེ་སེམས་ཅན་གི་བཞེས་སྒོ་ཚུ་ (འབུཔ་ཚལ་ལུ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚལ་ཚ
We shouldn't be surprised if our previous generation solved the problem of malnutrition like the chimpanzees in Savannah today.,ག་ཅི་ཡང་བརྩི་བ་ཅིན་ ང་བཅས་རའི་ཕ་བརྒྱུད་ཚུ་གིས་ཁོང་རའི་པི་རོཊི་ནེགི་དཀའ་ངལ་འདི་ད་རིས་སབ་ན་ན་ལུ་ཡོད་པའི་སིམ་པེན་སི་ཚུ་གིས་འབད་དོ་བཟུམ་ཅིག་སྦེ་ཧ་ལམ་ཅིག་ལུ་བསལ་པ་ཅིན་ ང་བཅས་ཧ་ལས་མི་དགོ།
The insomnia can wake you up while you're sleeping and put you back to sleep (in 10 and 60 minutes).,ཉལ་བར་ཆད་འདི་ཁྱོད་རའི་གཉིད་ལོག་ཀྱི་དུས་ཡུན་རྒྱུན་གྱི་སྐབས་དམིགས་བསལ་གྱི་སྦེ་ལོང་ཞིནམ་ལས་ དུས་ཡུན་ཐུང་ཀུ་ཅིག་གི་ཤུལ་ལས་ (སྐར་མ་ ༡༠ ལས་༦༠) ཉལ་འགྱོ་ནི་གི་ལམ་ལུགས་ཨིན།
"It's easy to do. Turn the alarm off and sleep well, so you won't fall asleep.",ཨ་ནཱི་འདི་ཁྱོད་ཧ་ལམ་མ་དཀྲོགས་པར་ཁྱོད་དྲན་པ་བཏོན་ནི་གི་དོན་ལུ་ ཉུང་སུ་སྦེ་ཁུ་སིམ་སི་སྦེ་ཡོད་པའི་དྲྭ་ཆུ་ཚོད་ལག་ལེན་འཐབ་སྟེ་འཇམ་ཏོང་ཏོ་སྦེ་འབད་ཚུགས།
"If you reset the clock while you're sleeping, you have to get up to turn off the clock if you put it on the opposite side of the room.",གལ་སྲིད་ཁྱོད་གཉིད་ལོག་པའི་སྐབས་ཆུ་ཚོད་འཁོར་ལོ་འདི་བསྐྱར་སྒྲིག་རྐྱབ་པ་ཅིན་འདི་ཁང་མིག་གི་ཟུར་གཞན་ཁར་བཞག་སྟེ་ཁྱོད་འདི་བསད་ནི་དོན་ལུ་ཉལ་ཁྲི་ལས་འཐོན་དགོཔ་སྦེ་བཟོ་འོང་།
"One option is to drink too much juice (water, tea, and diuretics) before going to bed, which will slow down the water supply.",སྲོག་སྒྲིག་ལམ་གཞི་བཞག་སྟེ་ གདམ་ཁ་གཞན་ཚུ་ཉལ་བའི་ཧེ་མ་ཆུ་མང་སུ་འཐུང་ནི་ཡོད། དམིགས་བསལ་དུ་ཆུ་ཡང་ན་ཇ་འདི་ཤེས་པའི་མཆོང་ནད་སྨན་ཅིག་ཨིན། དེ་གིས་མི་ཅིག་གིས་ཆག་བཏོན་ནི་ལུ་ལོང་བཅུགཔ་ཨིན།
The individual's inner peace is responsible for the balance of one's physical and mental stress.,མི་ཅིག་ལུ་ཡོད་མི་སེམས་ཀྱི་ཞི་བདེ་ཚད་འདི་མི་གི་གཟུགས་དང་སེམས་ནང་ཚ་གྱང་ཚད་དང་འགལ་བའི་འབྲེལ་བ་ཡོད།
"When stress is reduced, life can last longer, and anyone can find complete peace and happiness.",ཚ་གྱང་འདི་ག་དེམ་ཅིག་མར་ཕབ་ཅི་ག་དེ་ཅིག་སེམས་ཁམས་འདི་གནམ་མེད་ས་མེད་ལེགས་ཤོམ་འདུག། མི་རེ་རེ་ལུ་མཐུན་ཏོག་ཏོ་དང་སེམས་དགའ་ཏོག་ཏོ་ཐོབ་ནི་གི་ལྕོགས་གྲུབ་ཡོད།
Who deserves Sangay's credit? Our anxiety and hurt feelings prevent us from achieving this goal.,མི་ག་ར་གིས་ཤེས་ཡོན་འཐོབ་ཚུགས། འདི་དམིགས་ཡུལ་ལུ་བཀག་རྐྱབ་མི་འདི་ང་བཅས་རའི་ཚ་གྱང་དང་ངན་སེམས་རྐྱངམ་གཅིག་ཨིན།
"Bangla is true to Sangay's words, but it's committed to yoga and Indian happiness.",ཊི་བེཊ་གི་བྷུདྡ་ཆོས་ལུགས་འདི་བུདྡ་གི་ཆོས་སྟོན་ལུ་གཞི་བཞག་སྟེ་ཨིན་རུང་དགའ་བའི་མ་ཧཱ་ཡ་ནཱའི་ལམ་དང་ རྒྱ་གར་གྱི་ཡོ་གཱ་ལས་ཐབས་ཤེས་ལེ་ཤ་གིས་རྒྱ་སྐྱེད་འབད་ནུག།
"In theory, Buddhism is simple: it includes Kundali, Yoga, Chhamo and Chhamo.",གཞི་རྟེན་ནང་ལུ་ཐིབཊ་གི་བྷུདྡ་ཆོས་ལུགས་འདི་གནམ་མེད་ས་མེད་འཇམ་ཏོང་ཏོ་ཨིན། འདི་ཀུནཌ་ལཱིན་ཊི་ཡོ་གཱ་ མནོ་བསམ་གཏང་ནི་དང་ ག་ར་ཁྱབ་པའི་དགའ་བའི་ལམ་ལས་ཨིན།
"In Kundalini yoga, Kundalini's inspiration comes from the way yoga is done, the breathing practices of the vegetable and the temperament of the vegetable.",ཀུན་ལེགས་སྒྲོལ་མ་ཡོ་གཱ་དང་གཅིག་ཁར་ ཀུན་ལེགས་སྒྲོལ་མ་ཤུགས་འདི་ཡོ་གཱ་གི་གཟུགས་བརྙན་ཚུ་ རླུང་དབུགས་སྦྱོང་ཚུ་ མཱ་ཊར་དང་མཐོང་སྣང་ཚུ་ཐོག་ལས་ འཚོ་ནི་ཡོད།
The heart of yoga is yoga. Many yoga therapies allow relaxation to resolve emotional stress and win Sangay's heart.,ཊི་བེཊ་བསམ་བློའི་ལྟེ་བ་འདི་ལྷ་མོ་ཡོ་གཱ་ཨིན། ལྷ་མོ་མ་འདྲཝ་ཚུ་མཐོང་སྣང་བཟོ་ཐོག་ལས་ཤུགས་ལམ་ཚུ་གཙང་ཏོག་ཏོ་འགྱོ་ནི་དང་ཆོས་འཁོར་ཚུ་བརྟན་བརྟན་བཟོ་ནི་ དེ་ལས་ཤེས་ཡོན་ཤེས་ཡོན་བཟོ་ནི་ཡོད།
"As Germany was a common enemy during World War II, relations developed between the USSR and the USSR. By the end of the two world wars, the countries had disintegrated, with rules, procedures and cultures at variance.",འཛམ་གླིང་དམག་འཁྲུག་གཉིས་པ་ནང་ཇར་མཱན་འདི་སྤྱིར་བཏང་གི་དགྲ་བྱང་ཕྱད་ཅིག་ཨིནམ་ལས་ཨེས་ཨེས་ཨེས་ཨེས་དང་ཨེས་ཨེས་ཨེས་ཨེས་གི་བར་ན་མཐུན་འབྲེལ་འབྱུང་ནུག། དམག་འཁྲུག་མཇུག་བསྡུ་ཞིནམ་ལས་ལམ་ལུགས་དང་ལམ་ལུགས་དང་ལམ་སྲོལ་གྱི་འཐབ་འཛིང་གིས་རྒྱལ་ཁབ་ཚུ་ཁ་གཏོར་འགྱོ་ཡི།
"Two years later, the former alliance became an enemy and a revolt broke out.",དམག་འཁྲུག་མཇུག་བསྡུ་སྟེ་ལོ་གཉིས་འགྱོ་ཞིནམ་ལས་ ཧེ་མ་གི་མཐུན་འབྲེལ་གྱི་མཐུན་འབྲེལ་གྱི་མཐུན་འབྲེལ་ཚུ་ད་ལྟོ་དགྲ་བྱང་ཕྱད་སྦེ་ཡོདཔ་ལས་ དམག་འཁྲུག་བསིལ་ཏོང་ཏོ་འགོ་བཙུགས་ནུག།
"A war that lasted for 40 years, in which wars raged from Africa to Asian theaters, Afghanistan, Kiev and many other places.",འདི་ཤུལ་མའི་ལོ་ངོ་༤༠ གི་རིང་ལུ་སྡོད་ནི་ཨིནམ་དང་འདི་ངོ་མ་སྦེ་ ཨཕ་རི་ཀ་ལས་ཨེ་སི་ཡ་ལུ་ ཨཕ་གཱན་ཊན་ ཀུ་བཱ་དང་ས་གནས་གཞན་ལེ་ཤ་ནང་དམག་སྒར་ཚུ་ནང་ཚབ་ཚབ་དམག་སྡེ་ཚུ་གིས་འཐབ་ནི་ཨིན་མས།
The professional defence was expected to resume on 17 September 1939 but was to be reversed and re-organised over the Romanian bridge.,སྤྱི་ལོ་༡༩༣༩ སྤྱི་ཟླ་དགུ་པའི་སྤྱི་ཚེས་༡༧ ལུ་པོ་ལིན་ཌ་གི་སྲུང་སྐྱོབ་འདི་ཧེ་མ་ལས་མེདཔ་ཐལ་ཡོདཔ་ལས་རེ་བ་གཅིག་ར་རྒྱབ་བཤུད་དང་རོ་མཱ་ནི་ཡན་གི་ལམ་ཁར་སྒྲིག་སྒྲིག་འབད་ནི་ཨིན་མས།
"However, these plans were to infiltrate more than 800,000 soldiers from the Soviet Union's Red Army, create a war zone in Belarus and Ukraine, and destroy the Riga Peace Treaty, the Soviet-Polish-Agrepo Agreement, and other international treaties, in spite of the fact that the CIA and several other parties were invading the eastern region of Poland and destroying it in one fell swoop.",ཨིན་རུང་ འཆར་གཞི་ཚུ་ གནམ་ནུབ་མོ་ར་ ཧ་ལམ་དུས་ཡུན་མ་འགྱོ་བའི་སྐབས་ སུ་ཝིཊ་གི་སྤྱི་མཐུན་དམག་སྡེའི་དམག་མི་དམརཔོ་ལས་དམག་མི་༨༠༠༠༠༠ ལྷགཔ་ཅིག་འཛུལ་ཏེ་ ཌི་ལི་ཡ་གི་ཤར་ཕྱོགས་ཀྱི་ས་ཁོངས་ཚུ་འཛུལ་ཞིནམ་ལས་ ཌི་ལི་ཡ་གི་ཞི་བའི་ཞལ་འཆེས་ རི་གཱ་དང་ སུ་ཝིཊ་-པོ་ལིཤ་གི་བཙན་འཛུལ་འབད་ནི་མེད་ཀྱི་ཞལ་འཆེས་ དེ་ལས་ རྒྱལ་ཁབ་ཀྱི་མཐུན་ལམ་གཉིས་ཕྱོགས་དང་མང་ཕྱོགས་གཉིས་ཆ་ར་ལས་འགལ་བའི་ཐོག་ལས་ ཌི་ལི་ཡ་དང་ཨུ་ཀེ་རེན་གྱི་གདོང་ཁེབས་བཟོ་ནུག།
Using a ship to transport goods is a great way to transport a large number of people and goods across the ocean.,གྲུ་ཚུ་ལག་ལེན་འཐབ་སྟེ་ཅ་ལ་སྐྱེལ་འདྲེན་འབད་ནི་འདི་རྒྱ་མཚོ་གི་ཕ་ཁར་མི་དང་ཅ་ལ་ཚུ་གནམ་མེད་ས་མེད་སྤོ་ནི་ལུ་ཐབས་ལམ་དྲག་ཤོས་ཅིག་ཨིན་མས།
"The primary function of a warship is to ensure that it delivers its own nationals and goods, as well as to prevent enemy civilians and goods from being delivered.",རྒྱ་མཚོ་གི་ལཱ་འདི་ རང་ལུགས་ཀྱི་ཐོག་ལས་ ཁྱོད་ཀྱི་རྒྱལ་ཁབ་ཀྱིས་ ཁྱོད་ཀྱི་མི་དང་ཅ་ལ་སྤོ་ནི་གི་ལྕོགས་གྲུབ་བརྟན་བརྟན་བརྟན་བཟོ་ནི་ཨིནམ་དང་ དེ་བསྒང་རང་ ཁྱོད་ཀྱི་དགྲ་བྱང་ཕྱད་ཀྱིས་ཁོ་གི་མི་དང་ཅ་ལ་སྤོ་ནི་གི་ལྕོགས་གྲུབ་བཀག་ནི་ཨིན་མས།
"The best example of this is the North Atlantic Campaign during World War II, when the United States was attempting to move people and supplies across the Atlantic Ocean in support of Britain.",ཨ་ནཱི་གི་ད་རེས་ཁམས་ཀྱི་དཔེ་དཔེར་ཁག་ཤོས་ཅིག་ར་ ཨོ་ལ་ཊིག་གི་བྱང་ཕྱོགས་ལས་འགུལ་འདི་འཛམ་གླིང་དམག་འཁྲུག་གཉིས་པ་ཨིན་མས། ཨ་མི་རི་ཀཱན་གྱིས་ བིརི་ཊེན་ལུ་གྲོགས་རམ་འབད་ནིའི་དོན་ལུ་ ཕོ་སྐྱེས་དང་ཅ་ཆས་ཚུ་ ཨཱ་ལེཊིག་གི་རྒྱ་མཚོ་གི་ཕ་ལུ་སྤོ་ནི་དཔའ་བཅམ་ནུག།
"At that time, Germany was actually trying to stop such a ship from coming by using a submarine.",དུས་ཚོད་དེ་གཅིག་ཁར་ ཇར་མཱན་གྱི་མཚོ་སྲུང་གི་དམག་སྡེ་གིས་ མང་ཤོས་ར་ཨུ་བཱོཊ་གྲུ་ཚུ་ལག་ལེན་འཐབ་སྟེ་ ཨ་ནཱི་རྒྱུན་འགྲུལ་བཀག་ནི་ལུ་དཔའ་བཅམ་ནུག།
"If the Allies had failed, Germany would have annexed Britain, which was then a colony of other European countries.",གལ་སྲིད་མཐུན་འབྲེལ་རྒྱལ་ཁབ་ཚུ་མཐར་མ་འཁྱོལ་བ་ཅིན་ ཇར་མཱན་གྱིས་ཊི་ལི་ཡ་འདི་ཡུ་རོབ་ཀྱི་ལྷག་ལུས་ཡོད་དོ་བཟུམ་སྦེ་དབང་འཛིན་འབད་ཚུགས་འོང་།
"Goats seem to have first been raised over the Zagros Mountains of Iran 10,000 years ago.",ར་འདི་ཧེ་མ་ལོ་ ༡༠༠༠༠༠ དེ་ཅིག་ཧེ་མ་ཨི་རན་གྱི་ཛ་གརོ་སི་རི་ཁ་ལུ་ཐོག་མར་ཁྱིམ་ཐོག་བཟོ་ནི་འདི་བཟུམ་འདུག།
"The ancients also cooked them to get milk, butter, meat and skins easily.",གནའ་བོའི་ལམ་སྲོལ་དང་རིགས་རྒྱུད་ཚུ་གིས་ཁོང་ཚུ་ཨོམ་སྐྱ་ཤ་ཤ་དང་པགས་ཀོ་ཚུ་འཇམ་ཏོང་ཏོ་སྦེ་འཐོབ་ནི་ལུ་བཞག་ནི་འགོ་བཙུགས་ནུག།
Even goats raised for grazing are often raised by children and young people chasing them through the grass and other areas.,ཁྱིམ་ནང་གི་ར་ཚུ་ སྤྱིར་བཏང་ལུ་ གངས་རི་ཚུ་ནང་འགས་འགྱོ་མི་ར་ཁྱུ་ཚུ་ནང་བཞག་ནི་ཨིནམ་དང་ འདི་ཚུ་ ཨ་རྟག་ར་ཨ་ལུ་ཡང་ན་ན་གཞོན་སྦེ་ཡོད་མི་ར་ཁྱི་གི་ལྟ་བ་འབད་མི་ཚུ་ཨིནམ་དང་ འདི་ཡང་ཡོངས་གྲགས་ཅན་གྱི་ལུག་རྫིཔ་བཟུམ་ཅིག་ཨིན་མས། འདི་ཚུ་ད་ལྟོ་ཡང་ལག་ལེན་འཐབ་ཨིན།
"In England, the road to the chariot has been built since the 16th century.",ཀ་བོན་ཝེ་འདི་ཨིང་ལེནཌ་ལུ་ དུས་རབས་ ༡༦ པའི་ནང་ར་བཟོ་ནུག།
"Although the wagon track is a stretched lane, horses can pull the wagon faster and have a better carrying capacity than non-tethered ones.",ཀ་བཱོན་ཝེ་ཚུ་ཤིང་གི་སྒྲོམ་མཉམ་གཅིག་སྦེ་བཟོ་སྟེ་ཡོད་རུང་ རྟ་གིས་མགྱོགས་ཚད་སྦོམ་འཐོབ་ནི་དང་ཉིནམ་དེ་ནང་ལམ་དུམ་གྲ་ཅིག་རིངམོ་སྦེ་ཡོད་མི་ལས་ལཱ་ཁག་སྦོམ་སྦེ་འབག་ནི་ལུ་འཐེན་བཅུག་ནུག།
